 ,Basel,Basel,Basel,Basel
lat,47.75,47.75,47.75,47.75
lon,7.5,7.5,7.5,7.5
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature ,Basel Relative Humidity ,Basel Wind Speed,Basel Wind Direction
20220113T0200,-3.979755,91.25326,3.6179552,84.289406
20220113T0300,-3.9197545,89.25767,3.671294,78.69006
20220113T0400,-4.1997547,90.46639,3.7585104,73.30075
20220113T0500,-4.2597547,89.76898,3.671294,78.69006
20220113T0600,-4.1997547,88.272026,3.0758414,69.443954
20220113T0700,-4.0897546,88.217445,3.4152596,71.56504
20220113T0800,-4.0897546,88.42084,3.671294,78.69006
20220113T0900,-3.4397545,85.11142,5.0142193,68.96249
20220113T1000,-1.4497546,81.10887,5.634891,63.43495
20220113T1100,-0.0697546,76.87557,5.0911684,81.869896
20220113T1200,1.0102454,74.35736,5.8048253,82.874985
20220113T1300,2.1802454,71.33248,6.151683,69.443954
20220113T1400,2.9702454,70.39694,7.491114,54.782394
20220113T1500,3.3602452,71.850716,7.145796,49.085617
20220113T1600,2.5802455,78.51259,6.618519,44.999985
20220113T1700,0.2602454,83.84973,7.9932966,54.16234
20220113T1800,-0.5597546,86.922806,5.154415,65.224846
20220113T1900,-1.0097545,88.24377,4.0249224,79.695145
20220113T2000,-1.4497546,88.458496,3.6,89.99999
20220113T2100,-2.0797548,89.324684,2.968636,104.03624
20220113T2200,-2.5697546,92.14954,3.219938,116.56505
20220113T2300,-2.6697545,89.73482,2.4149535,153.43495
20220114T0000,-2.9397545,89.50202,4.510787,151.38954
20220114T0100,-3.0997548,90.51005,3.7064266,150.94539
20220114T0200,-3.2597547,90.28766,3.7064266,150.94539
20220114T0300,-3.3897548,90.48057,3.7064266,150.94539
20220114T0400,-3.519755,90.81249,4.198285,149.03624
20220114T0500,-3.8697548,91.124695,5.0142193,158.9625
20220114T0600,-3.9897547,90.90421,4.829907,153.43495
20220114T0700,-4.1897545,91.16296,4.8965297,143.97263
20220114T0800,-4.1097546,91.240585,4.5820518,135
20220114T0900,-3.3397546,90.21072,4.8965297,143.97263
20220114T1000,-1.3897547,88.93092,4.829907,153.43495
20220114T1100,0.17024541,84.65231,4.510787,151.38954
20220114T1200,1.8202454,78.49607,4.510787,151.38954
20220114T1300,3.1202455,74.39115,2.8116899,129.80557
20220114T1400,4.110245,71.27184,2.6208394,105.9454
20220114T1500,4.8102455,69.30942,2.3051248,128.6598
20220114T1600,5.7802453,62.80375,4.6102495,141.34018
20220114T1700,3.6202455,72.97239,5.1165614,140.71059
20220114T1800,0.11024541,85.08624,3.6,126.869896
20220114T1900,-0.64975464,88.0874,2.5959969,123.69006
20220114T2000,-1.4597546,90.6727,2.3051248,141.34018
20220114T2100,-1.9997545,91.922844,2.5959969,146.30994
20220114T2200,-2.1397548,92.74275,2.3051248,128.6598
20220114T2300,-2.2597547,91.968895,3.0547013,135
20220115T0000,-2.3197546,91.89436,4.5820518,135
20220115T0100,-2.5697546,92.63716,4.1046314,127.874985
20220115T0200,-2.8097544,93.389175,3.319036,130.60129
20220115T0300,-3.2497544,94.77796,3.0547013,135
20220115T0400,-3.4297547,95.34119,3.7064266,150.94539
20220115T0500,-3.6497545,95.25468,4.3498964,155.55605
20220115T0600,-3.8097548,95.38886,4.8965297,143.97263
20220115T0700,-3.7997546,95.10026,5.0911684,135
20220115T0800,-4.1297545,95.077965,5.3517847,132.27368
20220115T0900,-3.1497545,93.64522,6.1305785,139.76364
20220115T1000,-1.4397546,91.560616,4.8965297,143.97263
20220115T1100,-0.46975458,89.56211,4.1046314,127.874985
20220115T1200,0.7202454,85.48355,5.6233797,140.19443
20220115T1300,2.0402455,82.025795,4.8965297,143.97263
20220115T1400,3.3102455,79.7378,3.8268526,138.81407
20220115T1500,3.5502453,78.96703,3.319036,139.3987
20220115T1600,3.7602453,75.67195,4.6938257,147.52881
20220115T1700,2.9002452,81.73642,5.4833565,156.8014
20220115T1800,-0.24975461,89.12063,3.396233,147.99461
20220115T1900,-0.87975454,90.86382,4.1046314,142.12502
20220115T2000,-1.5597545,93.067955,4.39436,145.00798
20220115T2100,-1.8997546,93.7402,5.00128,149.74356
